m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
1,1,1,1,0.002000,0.005408,0.369822,0.001000,0.044288,0.022579,0.000000,0.005440,0.000000
2,2,1,1,0.001000,0.005664,0.176554,0.001000,0.044736,0.022353,0.001000,0.005504,0.181686
4,4,1,1,0.002000,0.004704,0.425170,0.004000,0.045056,0.088778,0.000000,0.006144,0.000000
8,8,1,1,0.002000,0.004096,0.488281,0.017000,0.048320,0.351821,0.001000,0.005888,0.169837
16,16,1,1,0.006000,0.005408,1.109467,0.066000,0.066880,0.986842,0.001000,0.006144,0.162760
32,32,1,1,0.005000,0.005696,0.877809,0.268000,0.172032,1.557850,0.002000,0.009152,0.218531
64,64,1,1,0.006000,0.005568,1.077586,1.074000,0.528416,2.032490,0.004000,0.021312,0.187688
128,128,1,1,0.006000,0.004736,1.266892,4.306000,2.082816,2.067393,0.014000,0.075968,0.184288
256,256,1,1,0.014000,0.004096,3.417969,17.518000,14.917056,1.174360,0.053000,0.273952,0.193465
512,512,1,1,0.020000,2.353376,0.008498,69.891000,67.956642,1.028465,0.218000,1.091584,0.199710
1024,1024,1,1,0.017000,0.000384,44.270832,279.840000,268.097504,1.043799,0.909000,9.085120,0.100054
2048,2048,1,1,0.026000,0.001600,16.250000,1133.000000,1069.942749,1.058935,3.738000,36.321918,0.102913
4096,4096,1,1,0.026000,0.000736,35.326086,4612.647000,4263.244141,1.081957,14.821000,147.615265,0.100403
8192,8192,1,1,0.029000,0.000704,41.193181,18241.682000,17049.197266,1.069944,57.375000,593.259155,0.096712
2,2,2,2,0.002000,0.005472,0.365497,0.001000,0.044704,0.022369,0.001000,0.005600,0.178571
4,4,2,2,0.002000,0.005408,0.369822,0.005000,0.043104,0.115999,0.001000,0.005312,0.188253
8,8,2,2,0.002000,0.004672,0.428082,0.017000,23.375456,0.000727,0.001000,0.006144,0.162760
16,16,2,2,0.007000,0.004352,1.608456,0.065000,0.048320,1.345199,0.001000,0.006144,0.162760
32,32,2,2,0.006000,0.005728,1.047486,0.268000,0.068000,3.941176,0.002000,0.006144,0.325521
64,64,2,2,0.006000,0.004672,1.284247,1.074000,0.166048,6.468009,0.004000,0.009856,0.405844
128,128,2,2,0.017000,0.004576,3.715035,4.335000,0.546816,7.927713,0.013000,0.026656,0.487695
256,256,2,2,0.012000,0.004704,2.551020,17.481000,2.064288,8.468296,0.053000,0.075840,0.698840
512,512,2,2,0.016000,0.001472,10.869565,70.029000,15.095808,4.638970,0.218000,0.277216,0.786390
1024,1024,2,2,0.021000,0.000960,21.875001,280.867000,67.082237,4.186906,0.914000,1.085632,0.841906
2048,2048,2,2,0.024000,0.001920,12.500000,1123.093000,268.641266,4.180642,3.601000,9.090496,0.396128
4096,4096,2,2,0.028000,0.001664,16.826923,4518.769000,1071.546753,4.217053,14.376000,36.398560,0.394961
8192,8192,2,2,0.024000,0.001632,14.705883,18334.769000,4267.576660,4.296295,57.432000,147.825150,0.388513
4,4,4,4,0.001000,0.004096,0.244141,0.005000,0.043104,0.115999,0.001000,0.004736,0.211149
8,8,4,4,0.002000,0.004448,0.449640,0.018000,0.045088,0.399219,0.001000,0.004832,0.206954
16,16,4,4,0.007000,0.004672,1.498288,0.068000,0.047104,1.443614,0.001000,0.005504,0.181686
32,32,4,4,0.005000,0.005664,0.882768,0.275000,0.048192,5.706342,0.002000,0.005696,0.351124
64,64,4,4,0.005000,0.004704,1.062925,1.104000,0.068768,16.053978,0.003000,0.007424,0.404095
128,128,4,4,0.006000,0.005600,1.071429,4.530000,0.165888,27.307582,0.014000,0.011968,1.169786
256,256,4,4,0.011000,0.004256,2.584587,17.911000,0.538656,33.251277,0.055000,0.023680,2.322635
512,512,4,4,0.016000,2.355200,0.006793,72.165000,2.084320,34.622802,0.225000,0.077056,2.919954
1024,1024,4,4,0.021000,0.000704,29.829545,293.424000,15.149056,19.369127,0.974000,0.278272,3.500172
2048,2048,4,4,0.021000,0.002048,10.253906,1173.833000,64.486877,18.202665,3.769000,1.083840,3.477451
4096,4096,4,4,0.021000,2.353152,0.008924,4723.500000,269.134125,17.550729,14.355000,9.129984,1.572292
8192,8192,4,4,0.023000,0.001600,14.375000,18495.916000,1075.827637,17.192267,57.184000,36.373730,1.572124
8,8,8,8,0.002000,0.005568,0.359195,0.017000,0.045824,0.370985,0.001000,0.004896,0.204248
16,16,8,8,0.007000,0.004544,1.540493,0.067000,0.048640,1.377467,0.001000,0.005088,0.196541
32,32,8,8,0.005000,0.004704,1.062925,0.268000,0.049568,5.406714,0.002000,0.006016,0.332447
64,64,8,8,0.008000,0.004672,1.712329,1.077000,0.057152,18.844485,0.003000,0.007296,0.411184
128,128,8,8,0.006000,0.005376,1.116071,4.324000,0.105888,40.835599,0.014000,0.010240,1.367188
256,256,8,8,0.012000,0.004096,2.929688,17.426000,0.296960,58.681305,0.053000,0.017184,3.084264
512,512,8,8,0.017000,2.345728,0.007247,69.541000,1.011680,68.738138,0.218000,0.038880,5.606996
1024,1024,8,8,0.024000,0.001376,17.441860,279.167000,6.484896,43.048800,0.914000,0.144512,6.324734
2048,2048,8,8,0.021000,0.002048,10.253906,1167.067000,32.930656,35.440138,3.636000,0.551360,6.594602
4096,4096,8,8,0.022000,0.002048,10.742188,4559.657000,136.381439,33.433120,14.317000,4.704672,3.043145
8192,8192,8,8,0.021000,0.001568,13.392858,17872.135000,552.401001,32.353553,57.293000,18.266464,3.136513
16,16,16,16,0.005000,0.004096,1.220703,0.066000,0.077120,0.855809,0.001000,0.006336,0.157828
32,32,16,16,0.006000,0.004800,1.250000,0.268000,0.079872,3.355369,0.002000,0.006208,0.322165
64,64,16,16,0.007000,0.004672,1.498288,1.083000,0.081408,13.303361,0.004000,0.007616,0.525210
128,128,16,16,0.005000,0.004672,1.070205,4.436000,0.122880,36.100261,0.014000,0.009728,1.439145
256,256,16,16,0.012000,0.004672,2.568493,17.332000,0.309760,55.952995,0.054000,0.016832,3.208175
512,512,16,16,0.026000,2.354912,0.011041,69.820000,1.085440,64.324143,0.217000,0.041056,5.285464
1024,1024,16,16,0.022000,0.001376,15.988372,280.072000,6.500640,43.083758,0.908000,0.144320,6.291574
2048,2048,16,16,0.023000,0.001600,14.375000,1120.506000,33.177151,33.773425,3.686000,0.560416,6.577257
4096,4096,16,16,0.028000,0.001696,16.509434,4448.043000,136.536804,32.577612,14.421000,4.696928,3.070305
8192,8192,16,16,0.025000,0.000768,32.552082,18367.605000,551.665649,33.294814,57.102000,18.511328,3.084706
32,32,32,32,0.005000,0.005312,0.941265,0.268000,0.227616,1.177422,0.002000,0.011584,0.172652
64,64,32,32,0.007000,0.004096,1.708984,1.073000,0.216576,4.954381,0.004000,0.010400,0.384615
128,128,32,32,0.005000,0.004096,1.220703,4.306000,0.219136,19.649898,0.013000,0.014336,0.906808
256,256,32,32,0.012000,0.004096,2.929688,17.273000,0.411648,41.960607,0.053000,0.020960,2.528626
512,512,32,32,0.015000,2.344864,0.006397,69.601000,1.175296,59.219978,0.219000,0.044544,4.916487
1024,1024,32,32,0.017000,0.001408,12.073864,278.823000,9.351616,29.815489,0.914000,0.156096,5.855371
2048,2048,32,32,0.021000,0.001472,14.266304,1117.015000,36.675678,30.456560,3.612000,0.577536,6.254156
4096,4096,32,32,0.020000,0.000992,20.161291,4788.035000,144.751358,33.077652,17.800000,4.800832,3.707691
8192,8192,32,32,0.022000,0.002048,10.742188,17776.447000,579.636719,30.668256,57.284000,18.957600,3.021691
64,64,64,64,0.005000,0.004544,1.100352,1.075000,0.004064,264.517703,0.003000,0.003968,0.756048
128,128,64,64,0.005000,0.004096,1.220703,4.326000,2.350144,1.840738,0.014000,0.004032,3.472222
256,256,64,64,0.015000,0.004096,3.662109,28.223000,2.351040,12.004475,0.082000,0.004096,20.019531
512,512,64,64,0.013000,2.348384,0.005536,69.850000,2.344544,29.792575,0.217000,0.003360,64.583334
1024,1024,64,64,0.019000,0.001696,11.202830,279.420000,2.352128,118.794554,0.908000,0.003328,272.836542
2048,2048,64,64,0.020000,0.001344,14.880952,1114.896000,2.345472,475.339699,3.589000,0.003360,1068.154770
4096,4096,64,64,0.024000,0.002048,11.718750,4490.020000,2.343232,1916.165433,14.343000,0.004096,3501.708993
8192,8192,64,64,0.022000,0.000672,32.738095,18369.097000,2.336736,7861.006671,57.144000,0.003328,17170.673270
128,128,128,128,0.005000,0.005600,0.892857,4.336000,2.339200,1.853625,0.013000,0.003424,3.796729
256,256,128,128,0.012000,0.004192,2.862596,18.256000,2.341088,7.798083,0.056000,0.003232,17.326733
512,512,128,128,0.017000,0.001696,10.023585,73.413000,2.353184,31.197306,0.230000,0.003872,59.400828
1024,1024,128,128,0.017000,0.000576,29.513888,286.320000,2.345280,122.083507,0.935000,0.002560,365.234384
2048,2048,128,128,0.020000,0.000576,34.722221,1216.605000,2.343488,519.142838,3.619000,0.003968,912.046383
4096,4096,128,128,0.022000,0.001632,13.480392,4636.332000,2.339040,1982.151617,14.366000,0.003936,3649.898218
8192,8192,128,128,0.025000,0.000960,26.041667,18015.724000,2.344416,7684.525590,57.340000,0.003808,15057.773536
256,256,256,256,0.012000,0.005408,2.218935,17.451000,2.342080,7.451069,0.053000,0.003040,17.434210
512,512,256,256,0.014000,2.353504,0.005949,69.581000,2.338592,29.753372,0.217000,0.003744,57.959400
1024,1024,256,256,0.020000,0.001472,13.586956,278.875000,2.339680,119.193653,0.914000,0.003936,232.215437
2048,2048,256,256,0.020000,0.002048,9.765625,1118.384000,2.335328,478.898018,3.623000,0.003296,1099.211181
4096,4096,256,256,0.019000,0.002048,9.277344,4594.170000,2.334336,1968.084250,14.305000,0.003616,3956.028695
8192,8192,256,256,0.024000,0.000640,37.500001,18059.817000,2.349504,7686.650904,57.649000,0.002944,19581.860979
512,512,512,512,0.013000,0.000544,23.897058,69.846000,2.336800,29.889591,0.218000,0.004064,53.641729
1024,1024,512,512,0.022000,2.349056,0.009365,279.652000,2.337664,119.628832,0.926000,0.002816,328.835225
2048,2048,512,512,0.020000,0.002048,9.765625,1118.537000,2.345760,476.833499,3.621000,0.003904,927.510264
4096,4096,512,512,0.023000,0.002048,11.230469,4651.460000,2.338848,1988.782415,15.057000,0.003872,3888.688103
8192,8192,512,512,0.022000,0.001664,13.221154,18758.196000,2.345152,7998.712574,57.021000,0.003808,14974.002525
1024,1024,1024,1024,0.020000,0.001792,11.160714,279.439000,2.351104,118.854375,0.928000,0.002816,329.545452
2048,2048,1024,1024,0.021000,0.001792,11.718750,1117.101000,2.337248,477.955681,3.638000,0.003488,1043.004582
4096,4096,1024,1024,0.021000,0.001792,11.718750,4473.797000,2.348672,1904.819901,14.303000,0.003520,4063.352241
8192,8192,1024,1024,0.022000,0.002048,10.742188,18672.150000,2.347072,7955.508355,60.652000,0.003840,15794.792066
2048,2048,2048,2048,0.024000,0.001600,15.000000,1162.445000,2.336416,497.533400,3.750000,0.002368,1583.614796
4096,4096,2048,2048,0.021000,0.000960,21.875001,4597.147000,2.339552,1964.968997,14.321000,0.003520,4068.465877
8192,8192,2048,2048,0.021000,0.000960,21.875001,18100.216000,0.736032,24591.615277,57.565000,0.003648,15779.879080
4096,4096,4096,4096,0.022000,0.001664,13.221154,4493.546000,2.334016,1925.242088,14.273000,0.002720,5247.426491
8192,8192,4096,4096,0.020000,2.349632,0.008512,18429.264000,2.344096,7861.992184,59.145000,0.002848,20767.204817
8192,8192,8192,8192,0.022000,0.002048,10.742188,18606.876000,2.351136,7913.994020,57.310000,0.002784,20585.488423
