m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
1,1,1,1,0.002000,0.004352,0.459559,0.001000,0.044576,0.022434,0.000000,0.005056,0.000000
2,2,1,1,0.002000,0.005248,0.381098,0.001000,0.045760,0.021853,0.000000,0.006176,0.000000
4,4,1,1,0.002000,0.004608,0.434028,0.005000,0.046592,0.107315,0.001000,0.006304,0.158629
8,8,1,1,0.002000,0.004576,0.437063,0.017000,0.047616,0.357023,0.001000,0.007328,0.136463
16,16,1,1,0.009000,0.011264,0.799006,0.076000,0.064256,1.182769,0.001000,0.010144,0.098580
32,32,1,1,0.007000,0.004608,1.519097,0.437000,0.165888,2.634308,0.003000,0.047200,0.063559
64,64,1,1,0.029000,0.004704,6.164966,1.084000,0.552960,1.960359,0.003000,0.208896,0.014361
128,128,1,1,0.011000,0.004096,2.685547,4.323000,2.081600,2.076768,0.013000,1.469184,0.008848
256,256,1,1,0.020000,0.004480,4.464286,17.275000,15.424704,1.119957,0.054000,23.345152,0.002313
512,512,1,1,0.025000,2.350432,0.010636,69.713000,67.366722,1.034828,0.218000,187.603043,0.001162
1024,1024,1,1,0.019000,0.001792,10.602678,278.983000,268.964783,1.037247,0.946000,1465.610352,0.000645
2048,2048,1,1,0.027000,0.001824,14.802631,1116.344000,1066.421143,1.046813,3.618000,11607.466797,0.000312
4096,4096,1,1,0.028000,0.001952,14.344263,4673.855000,4261.898926,1.096660,14.294000,92579.289062,0.000154
8192,8192,1,1,0.030000,0.001632,18.382353,18564.757000,17050.185547,1.088830,58.418000,741956.062500,0.000079
2,2,2,2,0.002000,0.004096,0.488281,0.001000,0.044448,0.022498,0.000000,0.006144,0.000000
4,4,2,2,0.002000,0.004160,0.480769,0.005000,0.043008,0.116257,0.000000,0.006144,0.000000
8,8,2,2,0.002000,0.004096,0.488281,0.018000,0.045056,0.399503,0.001000,0.006816,0.146714
16,16,2,2,0.004000,0.004096,0.976563,0.068000,0.047264,1.438727,0.001000,0.007008,0.142694
32,32,2,2,0.008000,0.004096,1.953125,0.275000,0.069632,3.949334,0.001000,0.016544,0.060445
64,64,2,2,0.005000,0.004672,1.070205,1.104000,0.163840,6.738281,0.003000,0.061920,0.048450
128,128,2,2,0.006000,0.005696,1.053371,4.561000,0.552064,8.261723,0.014000,0.387232,0.036154
256,256,2,2,0.019000,0.005472,3.472222,18.666000,2.032000,9.186023,0.058000,5.216256,0.011119
512,512,2,2,0.028000,2.351488,0.011907,72.594000,15.274080,4.752758,0.229000,45.563839,0.005026
1024,1024,2,2,0.022000,0.002048,10.742188,290.756000,67.545090,4.304621,0.907000,367.474701,0.002468
2048,2048,2,2,0.028000,0.002048,13.671875,1120.099000,268.899139,4.165499,3.635000,2923.577393,0.001243
4096,4096,2,2,0.036000,0.000896,40.178571,4498.334000,1066.921997,4.216179,14.663000,23259.025391,0.000630
8192,8192,2,2,0.031000,0.000800,38.750001,18267.669000,4272.617676,4.275522,57.381000,185843.031250,0.000309
4,4,4,4,0.003000,0.005632,0.532670,0.005000,0.045152,0.110737,0.001000,0.006240,0.160256
8,8,4,4,0.002000,0.004160,0.480769,0.017000,0.043776,0.388341,0.001000,0.006144,0.162760
16,16,4,4,0.004000,0.004672,0.856164,0.066000,0.045088,1.463804,0.000000,0.008096,0.000000
32,32,4,4,0.005000,0.004096,1.220703,0.268000,0.047072,5.693406,0.001000,0.009760,0.102459
64,64,4,4,0.006000,0.005312,1.129518,1.104000,0.065536,16.845703,0.004000,0.018432,0.217014
128,128,4,4,0.005000,0.004096,1.220703,4.323000,0.166016,26.039659,0.014000,0.111040,0.126081
256,256,4,4,0.013000,0.004096,3.173828,17.470000,0.534656,32.675216,0.053000,0.745472,0.071096
512,512,4,4,0.020000,2.348416,0.008516,70.769000,1.987168,35.612994,0.231000,10.280384,0.022470
1024,1024,4,4,0.019000,0.000960,19.791667,285.078000,15.139680,18.829856,0.935000,90.696991,0.010309
2048,2048,4,4,0.024000,0.002048,11.718750,1150.667000,67.704895,16.995330,3.701000,737.266479,0.005020
4096,4096,4,4,0.028000,0.002048,13.671875,4483.671000,268.220123,16.716386,14.319000,5857.714355,0.002444
8192,8192,4,4,0.030000,0.001568,19.132654,18124.265000,1076.537354,16.835705,57.267000,46717.171875,0.001226
8,8,8,8,0.002000,0.004256,0.469925,0.017000,0.049152,0.345866,0.001000,0.006432,0.155473
16,16,8,8,0.006000,0.004096,1.464844,0.066000,0.047296,1.395467,0.001000,0.008096,0.123518
32,32,8,8,0.005000,0.004704,1.062925,0.269000,0.047808,5.626673,0.001000,0.009984,0.100160
64,64,8,8,0.014000,0.005600,2.500000,1.100000,0.057344,19.182477,0.004000,0.016384,0.244141
128,128,8,8,0.005000,0.004448,1.124101,4.365000,0.101376,43.057530,0.013000,0.054784,0.237296
256,256,8,8,0.013000,0.004096,3.173828,17.352000,0.297184,58.388071,0.053000,0.373632,0.141851
512,512,8,8,0.018000,2.355584,0.007641,116.904000,1.072512,109.000176,0.331000,5.310528,0.062329
