m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
1,1,1,1,0.001000,0.000832,1.201923,0.002000,0.042336,0.047241,0.000000,0.004096,0.000000
2,2,1,1,0.002000,0.000352,5.681818,0.002000,0.041248,0.048487,0.001000,0.005408,0.184911
4,4,1,1,0.002000,0.000480,4.166667,0.004000,0.043008,0.093006,0.001000,0.005184,0.192901
8,8,1,1,0.002000,0.001344,1.488095,0.015000,0.043104,0.347996,0.000000,0.005248,0.000000
16,16,1,1,0.002000,0.001312,1.524390,0.055000,0.055392,0.992923,0.000000,0.004608,0.000000
32,32,1,1,0.005000,0.001984,2.520161,0.220000,0.119168,1.846133,0.002000,0.006176,0.323834
64,64,1,1,0.005000,0.001280,3.906250,0.876000,0.354944,2.467995,0.004000,0.007840,0.510204
128,128,1,1,0.004000,0.001440,2.777778,3.516000,1.298432,2.707881,0.013000,0.016384,0.793457
256,256,1,1,0.006000,0.001728,3.472222,14.063000,14.295008,0.983770,0.052000,0.052736,0.986044
512,512,1,1,0.010000,0.000736,13.586956,56.074001,61.687809,0.908996,0.206000,0.195200,1.055328
1024,1024,1,1,0.019000,0.001920,9.895833,265.766998,260.660553,1.019590,0.843000,0.769024,1.096195
2048,2048,1,1,0.019000,0.002048,9.277344,1081.458008,1041.675537,1.038191,3.384000,7.641792,0.442828
4096,4096,1,1,0.018000,0.002048,8.789062,4538.049805,4161.929199,1.090372,13.489000,35.293182,0.382198
8192,8192,1,1,0.019000,0.002048,9.277344,19821.763672,16666.031250,1.189351,53.965000,155.128128,0.347874
2,2,2,2,0.002000,0.000448,4.464286,0.002000,0.040992,0.048790,0.001000,0.004896,0.204248
4,4,2,2,0.002000,0.002048,0.976563,0.004000,0.042176,0.094841,0.001000,0.004704,0.212585
8,8,2,2,0.001000,0.000768,1.302083,0.014000,0.042976,0.325763,0.001000,0.005920,0.168919
16,16,2,2,0.001000,0.001792,0.558036,0.056000,0.044448,1.259899,0.001000,0.005952,0.168011
32,32,2,2,0.004000,0.001280,3.125000,0.220000,0.053856,4.084967,0.001000,0.005280,0.189394
64,64,2,2,0.005000,0.000992,5.040322,0.879000,0.119232,7.372182,0.004000,0.006144,0.651042
128,128,2,2,0.005000,0.001792,2.790179,3.513000,0.356864,9.844086,0.013000,0.009600,1.354167
256,256,2,2,0.005000,0.001024,4.882812,14.026000,1.298592,10.800929,0.051000,0.024160,2.110927
512,512,2,2,0.010000,0.001536,6.510417,56.132000,14.296352,3.926316,0.206000,0.051616,3.991011
1024,1024,2,2,0.016000,0.000608,26.315792,264.368988,61.721279,4.283271,0.838000,0.211232,3.967202
2048,2048,2,2,0.018000,0.000352,51.136360,1072.953979,260.492249,4.118948,3.387000,0.798880,4.239686
4096,4096,2,2,0.018000,0.002048,8.789062,4579.902832,1041.672241,4.396683,13.532000,7.749248,1.746234
