m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
1,1,1,1,0.002000,0.004672,0.428082,0.001000,0.044288,0.022579,0.000000,0.005728,0.000000
2,2,1,1,0.002000,0.004288,0.466418,0.002000,0.042816,0.046712,0.001000,0.004832,0.206954
4,4,1,1,0.002000,0.004096,0.488281,0.005000,0.045056,0.110973,0.000000,0.005792,0.000000
8,8,1,1,0.002000,0.004352,0.459559,0.015000,0.043744,0.342904,0.000000,0.004672,0.000000
16,16,1,1,0.002000,0.004128,0.484496,0.057000,0.055776,1.021945,0.001000,0.007872,0.127033
32,32,1,1,0.005000,0.005248,0.952744,0.225000,0.120960,1.860119,0.002000,0.012576,0.159033
64,64,1,1,0.005000,0.004128,1.211240,0.900000,0.368128,2.444802,0.004000,0.092160,0.043403
128,128,1,1,0.005000,0.004384,1.140511,3.630000,1.367552,2.654378,0.013000,0.301536,0.043113
256,256,1,1,0.009000,0.004288,2.098881,14.461000,10.094496,1.432563,0.052000,6.472768,0.008034
512,512,1,1,0.020000,0.005504,3.633721,58.835999,45.301792,1.298756,0.218000,58.089474,0.003753
1024,1024,1,1,0.039000,0.000960,40.625000,272.385010,179.657791,1.516132,0.865000,362.699585,0.002385
2048,2048,1,1,0.025000,2.349632,0.010640,1098.197998,711.010315,1.544560,3.542000,3032.280518,0.001168
4096,4096,1,1,0.023000,0.002048,11.230469,4399.337891,2833.940186,1.552375,13.997000,24076.001953,0.000581
8192,8192,1,1,0.024000,2.342624,0.010245,17649.103516,17053.550781,1.034922,55.542000,191318.218750,0.000290
2,2,2,2,0.001000,0.004672,0.214041,0.002000,0.043296,0.046194,0.000000,0.005568,0.000000
4,4,2,2,0.002000,0.005408,0.369823,0.004000,0.041696,0.095932,0.000000,0.005824,0.000000
8,8,2,2,0.002000,0.004672,0.428082,0.015000,0.042976,0.349032,0.001000,0.005504,0.181686
16,16,2,2,0.002000,0.004672,0.428082,0.057000,0.044928,1.268697,0.001000,0.006144,0.162760
32,32,2,2,0.005000,0.004704,1.062925,0.226000,0.058240,3.880494,0.001000,0.010368,0.096451
64,64,2,2,0.005000,0.005408,0.924556,0.923000,0.121856,7.574514,0.004000,0.033536,0.119275
128,128,2,2,0.005000,0.005184,0.964506,3.605000,0.374400,9.628739,0.014000,0.121248,0.115466
256,256,2,2,0.009000,0.004096,2.197266,14.480000,1.378560,10.503715,0.052000,1.158496,0.044886
512,512,2,2,0.016000,0.004096,3.906250,57.959999,10.201472,5.681533,0.233000,14.213504,0.016393
1024,1024,2,2,0.022000,0.001792,12.276786,288.557007,42.172417,6.842316,0.912000,90.624321,0.010064
2048,2048,2,2,0.025000,0.002048,12.207031,1087.052979,178.585602,6.087014,3.482000,455.848907,0.007638
4096,4096,2,2,0.027000,2.347072,0.011504,4380.784180,715.086060,6.126234,13.890000,3748.336426,0.003706
8192,8192,2,2,0.025000,0.000608,41.118423,17614.464844,4278.493652,4.116978,55.722000,29563.982422,0.001885
4,4,4,4,0.002000,0.004704,0.425170,0.004000,0.041760,0.095785,0.000000,0.005536,0.000000
8,8,4,4,0.001000,0.004256,0.234962,0.015000,0.042880,0.349813,0.001000,0.005440,0.183824
16,16,4,4,0.002000,0.004704,0.425170,0.057000,0.045120,1.263298,0.001000,0.006080,0.164474
32,32,4,4,0.005000,0.004096,1.220703,0.226000,0.044064,5.128903,0.001000,0.007392,0.135281
64,64,4,4,0.008000,0.005344,1.497006,0.899000,0.057088,15.747618,0.003000,0.018208,0.164763
128,128,4,4,0.006000,0.005408,1.109467,3.629000,0.124928,29.048733,0.014000,0.039040,0.358607
256,256,4,4,0.008000,0.004096,1.953125,14.492000,0.362592,39.967785,0.053000,0.312768,0.169455
512,512,4,4,0.014000,0.005376,2.604167,57.820999,1.337344,43.235695,0.212000,1.861472,0.113888
1024,1024,4,4,0.022000,0.000768,28.645832,272.230988,10.165472,26.779964,0.889000,19.374081,0.045886
2048,2048,4,4,0.022000,0.000672,32.738094,1088.520996,45.034306,24.170929,3.474000,130.865479,0.026546
4096,4096,4,4,0.026000,0.001696,15.330189,4455.386230,179.047775,24.883785,13.861000,1094.978027,0.012659
8192,8192,4,4,0.037000,0.001600,23.125000,17596.777344,1076.795898,16.341795,55.563000,9614.939453,0.005779
8,8,8,8,0.002000,0.004512,0.443262,0.015000,0.045056,0.332919,0.001000,0.005856,0.170765
16,16,8,8,0.002000,0.004704,0.425170,0.057000,0.045056,1.265092,0.000000,0.006144,0.000000
32,32,8,8,0.005000,0.005248,0.952744,0.226000,0.045184,5.001770,0.002000,0.006144,0.325521
64,64,8,8,0.006000,0.004320,1.388889,0.900000,0.050720,17.744480,0.004000,0.008480,0.471698
128,128,8,8,0.006000,0.005632,1.065341,3.653000,0.079872,45.735680,0.014000,0.020512,0.682527
256,256,8,8,0.008000,0.004096,1.953125,14.613000,0.212864,68.649467,0.053000,0.143040,0.370526
512,512,8,8,0.015000,0.004096,3.662109,58.338001,0.690560,84.479263,0.211000,0.863552,0.244340
