m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
1,1,1,1,0.001000,0.086272,0.011591,0.003000,0.525792,0.005706,0.001000,0.018656,0.053602
2,2,1,1,0.002000,0.157952,0.012662,0.010000,0.492800,0.020292,0.000000,0.018432,0.000000
4,4,1,1,0.002000,0.163552,0.012229,0.036000,0.481280,0.074801,0.001000,0.019488,0.051314
8,8,1,1,0.002000,0.177472,0.011269,0.144000,0.518176,0.277898,0.000000,0.019776,0.000000
16,16,1,1,0.001000,0.086368,0.011578,0.580000,0.614240,0.944256,0.000000,0.018784,0.000000
32,32,1,1,0.007000,0.177504,0.039436,2.275000,1.380480,1.647977,0.001000,0.020448,0.048905
64,64,1,1,0.005000,0.084288,0.059320,8.910000,4.151712,2.146103,0.003000,0.088064,0.034066
128,128,1,1,0.005000,0.159840,0.031281,35.918999,15.237440,2.357286,0.013000,0.063392,0.205073
256,256,1,1,0.006000,0.164032,0.036578,141.865997,59.687809,2.376800,0.052000,0.103520,0.502318
512,512,1,1,0.013000,0.331008,0.039274,568.664001,236.475204,2.404751,0.207000,0.261856,0.790511
1024,1024,1,1,0.019000,0.228000,0.083333,2697.938965,834.805420,3.231818,0.837000,0.781920,1.070442
2,2,2,2,0.002000,0.099328,0.020135,0.010000,0.485568,0.020594,0.001000,0.019200,0.052083
4,4,2,2,0.001000,0.185952,0.005378,0.037000,0.488224,0.075785,0.000000,0.018720,0.000000
8,8,2,2,0.001000,0.158816,0.006297,0.140000,0.488992,0.286303,0.000000,0.018592,0.000000
16,16,2,2,0.002000,0.139648,0.014322,0.552000,0.504896,1.093295,0.001000,0.019520,0.051230
32,32,2,2,0.007000,0.169248,0.041359,2.200000,0.622112,3.536341,0.002000,0.018752,0.106655
64,64,2,2,0.005000,0.096736,0.051687,8.854000,1.195872,7.403803,0.004000,0.020384,0.196232
128,128,2,2,0.008000,0.089856,0.089031,35.970001,4.166336,8.633486,0.012000,0.057536,0.208565
256,256,2,2,0.006000,0.089856,0.066774,142.102005,15.241280,9.323496,0.051000,0.058240,0.875687
512,512,2,2,0.015000,0.152512,0.098353,568.611023,59.718239,9.521564,0.206000,0.106496,1.934345
1024,1024,2,2,0.017000,0.238784,0.071194,2681.534912,236.715591,11.328088,0.835000,0.265696,3.142689
4,4,4,4,0.002000,0.081792,0.024452,0.036000,0.475136,0.075768,0.001000,0.018496,0.054066
8,8,4,4,0.002000,0.090112,0.022195,0.140000,0.498176,0.281025,0.000000,0.019968,0.000000
16,16,4,4,0.002000,0.104192,0.019195,0.579000,0.489920,1.181826,0.001000,0.019392,0.051568
32,32,4,4,0.007000,0.090400,0.077434,2.199000,0.496992,4.424618,0.001000,0.019296,0.051824
64,64,4,4,0.005000,0.087840,0.056922,9.032000,0.617024,14.638003,0.004000,0.020480,0.195313
128,128,4,4,0.006000,0.090464,0.066325,35.292000,1.363968,25.874506,0.013000,0.023392,0.555746
256,256,4,4,0.005000,0.089856,0.055645,141.811005,4.159328,34.094692,0.052000,0.029152,1.783754
512,512,4,4,0.010000,0.113568,0.088053,563.466003,15.262016,36.919498,0.206000,0.043968,4.685225
1024,1024,4,4,0.020000,0.248672,0.080427,2696.074951,59.916927,44.996883,0.842000,0.093120,9.042096
8,8,8,8,0.001000,0.088480,0.011302,0.148000,0.490176,0.301932,0.001000,0.018784,0.053237
16,16,8,8,0.002000,0.082720,0.024178,0.553000,0.485024,1.140150,0.000000,0.019360,0.000000
32,32,8,8,0.006000,0.094496,0.063495,2.224000,0.480736,4.626240,0.001000,0.018784,0.053237
64,64,8,8,0.005000,0.087264,0.057297,8.813000,0.526400,16.742020,0.003000,0.018816,0.159439
128,128,8,8,0.005000,0.084480,0.059186,35.268002,0.888096,39.711926,0.013000,0.021888,0.593933
256,256,8,8,0.005000,0.090304,0.055369,140.753006,2.308544,60.970470,0.052000,0.023136,2.247580
512,512,8,8,0.009000,0.133056,0.067641,562.773987,7.895168,71.280815,0.206000,0.032672,6.305093
1024,1024,8,8,0.018000,0.242016,0.074375,2677.794922,30.361088,88.198250,0.849000,0.051776,16.397558
16,16,16,16,0.002000,0.082752,0.024169,0.576000,0.704480,0.817624,0.001000,0.019456,0.051398
32,32,16,16,0.005000,0.089984,0.055565,2.207000,0.713344,3.093879,0.001000,0.018432,0.054253
64,64,16,16,0.005000,0.090048,0.055526,8.791000,0.718880,12.228745,0.003000,0.019168,0.156511
128,128,16,16,0.007000,0.098880,0.070793,35.664001,1.068928,33.364269,0.013000,0.019136,0.679348
256,256,16,16,0.005000,0.090720,0.055115,140.964005,2.469888,57.073036,0.051000,0.022528,2.263849
512,512,16,16,0.010000,0.112640,0.088778,563.658997,7.991904,70.528755,0.206000,0.032640,6.311275
1024,1024,16,16,0.016000,0.243488,0.065712,2691.802002,30.174751,89.207100,0.836000,0.047008,17.784208
32,32,32,32,0.006000,0.091904,0.065286,2.207000,1.772096,1.245418,0.002000,0.019520,0.102459
64,64,32,32,0.005000,0.083680,0.059751,8.795000,1.782080,4.935244,0.003000,0.019520,0.153689
128,128,32,32,0.005000,0.089728,0.055724,35.278999,1.802688,19.570219,0.013000,0.019904,0.653135
256,256,32,32,0.006000,0.090240,0.066489,140.863007,3.313312,42.514259,0.052000,0.024576,2.115885
512,512,32,32,0.012000,0.114752,0.104573,563.471985,9.344896,60.297298,0.216000,0.034784,6.209752
1024,1024,32,32,0.016000,0.242912,0.065867,2676.357910,33.639553,79.559853,0.836000,0.061728,13.543287
64,64,64,64,0.004000,0.102016,0.039210,8.831000,0.042816,206.254684,0.004000,0.013920,0.287356
128,128,64,64,0.006000,0.086688,0.069214,35.276001,0.040960,861.230530,0.013000,0.013056,0.995711
256,256,64,64,0.004000,0.094400,0.042373,140.841003,0.041376,3403.929932,0.052000,0.013952,3.727064
512,512,64,64,0.010000,0.104416,0.095771,564.083984,0.041152,13707.328125,0.206000,0.016960,12.146226
1024,1024,64,64,0.017000,0.243168,0.069911,2672.575928,0.046208,57837.945312,0.840000,0.016608,50.578033
128,128,128,128,0.006000,0.094464,0.063516,35.250999,0.040928,861.293030,0.013000,0.014208,0.914977
256,256,128,128,0.006000,0.117088,0.051244,140.858994,0.041344,3406.999756,0.051000,0.013568,3.758844
512,512,128,128,0.009000,0.107968,0.083358,563.807007,0.040128,14050.214844,0.206000,0.017440,11.811926
1024,1024,128,128,0.021000,0.252864,0.083049,2675.010986,0.046240,57850.585938,0.845000,0.017504,48.274685
256,256,256,256,0.005000,0.090592,0.055193,140.863998,0.041344,3407.120850,0.052000,0.014240,3.651685
512,512,256,256,0.009000,0.109504,0.082189,563.687988,0.041120,13708.365234,0.207000,0.016384,12.634277
1024,1024,256,256,0.017000,0.241312,0.070448,2677.032959,0.045632,58665.691406,0.836000,0.017376,48.112339
512,512,512,512,0.009000,0.106592,0.084434,563.232971,0.041408,13602.033203,0.206000,0.016384,12.573242
