m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
1,1,1,1,0.002000,1.390784,0.001438,0.001000,0.045056,0.022195,0.001000,0.005280,0.189394
2,2,1,1,0.001000,0.205600,0.004864,0.002000,0.266560,0.007503,0.001000,0.004256,0.234962
4,4,1,1,0.002000,0.245920,0.008133,0.004000,0.264864,0.015102,0.001000,0.005888,0.169837
8,8,1,1,0.002000,0.110592,0.018084,0.015000,0.077344,0.193939,0.000000,0.019392,0.000000
16,16,1,1,0.004000,0.839552,0.004764,0.056000,0.075712,0.739645,0.001000,0.020224,0.049446
32,32,1,1,0.005000,0.090336,0.055349,0.220000,0.136992,1.605933,0.001000,0.027712,0.036085
64,64,1,1,0.006000,0.089920,0.066726,0.929000,0.370688,2.506151,0.004000,0.100832,0.039670
128,128,1,1,0.005000,0.989344,0.005054,3.554000,1.295648,2.743029,0.013000,0.303584,0.042822
256,256,1,1,0.006000,0.000704,8.522727,14.282000,5.001824,2.855358,0.053000,4.067168,0.013031
512,512,1,1,0.014000,0.879424,0.015920,57.271999,23.596800,2.427109,0.207000,27.945984,0.007407
1024,1024,1,1,0.027000,0.342016,0.078944,268.058990,79.311325,3.379833,0.845000,171.088135,0.004939
2,2,2,2,0.001000,0.189632,0.005273,0.001000,0.262272,0.003813,0.001000,0.005536,0.180636
4,4,2,2,0.002000,0.272480,0.007340,0.004000,0.076032,0.052609,0.000000,0.019936,0.000000
8,8,2,2,0.002000,0.188192,0.010627,0.015000,0.073952,0.202834,0.000000,0.028256,0.000000
16,16,2,2,0.002000,0.088064,0.022711,0.057000,0.075968,0.750316,0.001000,0.022208,0.045029
32,32,2,2,0.005000,0.091776,0.054480,0.220000,0.075776,2.903294,0.002000,0.024224,0.082563
64,64,2,2,0.006000,0.094496,0.063495,0.895000,0.137952,6.487764,0.004000,0.045056,0.088778
128,128,2,2,0.004000,0.131616,0.030391,3.661000,0.370592,9.878789,0.013000,0.126304,0.102926
256,256,2,2,0.005000,1.319200,0.003790,14.503000,1.297440,11.178166,0.056000,1.074912,0.052097
512,512,2,2,0.012000,1.150912,0.010427,56.831001,5.044160,11.266693,0.206000,6.665984,0.030903
1024,1024,2,2,0.017000,1.135648,0.014969,270.709991,20.022848,13.520054,0.874000,44.947903,0.019445
4,4,4,4,0.002000,0.106688,0.018746,0.005000,0.076192,0.065624,0.001000,0.020192,0.049525
8,8,4,4,0.001000,0.113728,0.008793,0.015000,0.114464,0.131046,0.001000,0.020480,0.048828
16,16,4,4,0.002000,0.088512,0.022596,0.057000,0.081184,0.702109,0.001000,0.022528,0.044389
32,32,4,4,0.005000,0.648960,0.007705,0.221000,0.076736,2.880004,0.002000,0.031744,0.063004
64,64,4,4,0.007000,0.997376,0.007018,0.951000,0.080256,11.849581,0.004000,0.030720,0.130208
128,128,4,4,0.005000,0.000832,6.009615,3.700000,0.116736,31.695450,0.013000,0.038784,0.335190
256,256,4,4,0.005000,1.126880,0.004437,14.219000,0.374784,37.939186,0.051000,0.323008,0.157891
512,512,4,4,0.016000,0.277792,0.057597,57.625999,1.308800,44.029644,0.208000,1.796128,0.115805
1024,1024,4,4,0.046000,29.637247,0.001552,267.614990,5.060128,52.886997,0.842000,9.342752,0.090123
8,8,8,8,0.002000,0.463552,0.004315,0.016000,0.079776,0.200562,0.001000,0.020544,0.048676
16,16,8,8,0.002000,0.095712,0.020896,0.057000,0.104032,0.547908,0.001000,0.022048,0.045356
32,32,8,8,0.005000,0.094112,0.053128,0.226000,0.077408,2.919595,0.001000,0.020928,0.047783
64,64,8,8,0.004000,0.151680,0.026371,0.876000,0.075552,11.594663,0.004000,0.022272,0.179598
128,128,8,8,0.005000,1.963136,0.002547,3.577000,0.098656,36.257298,0.014000,0.034816,0.402114
256,256,8,8,0.007000,0.267360,0.026182,15.704000,0.222688,70.520187,0.057000,0.148672,0.383394
512,512,8,8,0.011000,0.879776,0.012503,59.463001,0.694912,85.569107,0.215000,0.853856,0.251799
1024,1024,8,8,0.015000,0.229728,0.065295,267.494995,2.850880,93.828926,0.842000,7.407616,0.113667
16,16,16,16,0.004000,0.190304,0.021019,0.057000,0.082656,0.689605,0.001000,0.019072,0.052433
32,32,16,16,0.004000,0.103520,0.038640,0.238000,0.084320,2.822581,0.001000,0.022624,0.044201
64,64,16,16,0.006000,0.522816,0.011476,0.876000,0.085696,10.222181,0.004000,0.026528,0.150784
128,128,16,16,0.006000,0.439904,0.013639,3.566000,0.114688,31.093052,0.014000,0.047520,0.294613
256,256,16,16,0.005000,0.540704,0.009247,14.164000,0.235520,60.139263,0.052000,0.236704,0.219684
512,512,16,16,0.010000,1.286080,0.007776,57.001999,0.696416,81.850502,0.212000,1.602528,0.132291
1024,1024,16,16,0.021000,0.333088,0.063046,267.608002,2.562272,104.441681,0.839000,12.354496,0.067910
32,32,32,32,0.005000,0.092800,0.053879,0.220000,0.170720,1.288660,0.001000,0.036832,0.027150
64,64,32,32,0.005000,1.423488,0.003512,0.894000,0.174304,5.128970,0.003000,0.055168,0.054379
128,128,32,32,0.005000,0.113984,0.043866,3.557000,0.174432,20.391901,0.013000,0.090432,0.143754
256,256,32,32,0.006000,1.125920,0.005329,14.394000,0.304448,47.279007,0.054000,0.576128,0.093729
512,512,32,32,0.010000,0.704096,0.014203,56.643002,0.810016,69.928253,0.206000,3.612384,0.057026
1024,1024,32,32,0.027000,0.157696,0.171216,266.605011,3.096736,86.092262,0.869000,24.712959,0.035164
64,64,64,64,0.006000,0.174560,0.034372,0.876000,0.003776,231.991516,0.004000,0.002784,1.436782
128,128,64,64,0.005000,0.126976,0.039378,3.677000,0.006528,563.265930,0.014000,0.023296,0.600962
256,256,64,64,0.005000,0.107072,0.046698,14.316000,0.190464,75.163811,0.051000,0.016384,3.112793
512,512,64,64,0.013000,0.059392,0.218885,56.937000,0.028416,2003.695068,0.207000,0.025696,8.055729
1024,1024,64,64,0.024000,0.246432,0.097390,268.657990,0.027872,9638.992188,0.837000,0.019072,43.886326
128,128,128,128,0.005000,0.109824,0.045527,3.598000,0.024576,146.402985,0.013000,0.015136,0.858880
256,256,128,128,0.006000,0.626688,0.009574,14.311000,0.027008,529.880005,0.052000,0.016448,3.161479
512,512,128,128,0.009000,0.116736,0.077097,56.478001,0.024704,2286.188477,0.207000,0.017600,11.761364
1024,1024,128,128,0.013000,1.193824,0.010889,267.407013,0.029728,8995.123047,0.884000,0.019648,44.991856
256,256,256,256,0.005000,0.090912,0.054998,14.219000,0.026240,541.882629,0.052000,0.015584,3.336756
512,512,256,256,0.011000,1.283136,0.008573,60.553001,0.026400,2293.674316,0.207000,0.023200,8.922414
1024,1024,256,256,0.018000,0.245888,0.073204,266.204010,0.027168,9798.439453,0.835000,0.018560,44.989223
512,512,512,512,0.010000,0.110112,0.090817,56.168999,0.025280,2221.875000,0.206000,0.017056,12.077862
